gameCreation,Ranked,Blitz,Aram
2018-07-15,49641,,39997
2018-07-16,76458,,62326
2018-07-17,87574,,68718
2018-07-18,79962,,63377
2018-07-19,80636,,66540
2018-07-20,83070,,67120
2018-07-21,89361,,74777
2018-07-22,96857,,81335
2018-07-23,90135,,71582
2018-07-24,83441,,75021
2018-07-25,87584,,76319
2018-07-26,85688,,76684
2018-07-27,83749,,77672
2018-07-28,88488,,82302
2018-07-29,95036,,86465
2018-07-30,89692,,76474
2018-07-31,87924,,74600
2018-08-01,80503,,69478
2018-08-02,77070,,51478
2018-08-03,74501,,45495
2018-08-04,80574,,54285
2018-08-05,86813,,60534
2018-08-06,65337,,58878
2018-08-07,84240,,55712
2018-08-08,81636,,54142
2018-08-09,83800,,53694
2018-08-10,80729,,53044
2018-08-11,86225,,59212
2018-08-12,90994,,64148
2018-08-13,84418,,59499
2018-08-14,84592,,61656
2018-08-15,75602,74345.0,45258
2018-08-16,78870,111146.0,38503
2018-08-17,79985,90539.0,40628
2018-08-18,87557,85411.0,46794
2018-08-19,93983,85385.0,50692
2018-08-20,83431,67864.0,43843
2018-08-21,83835,62040.0,44277
2018-08-22,83612,56710.0,44978
2018-08-23,82541,51389.0,45060
2018-08-24,82092,49125.0,46211
2018-08-25,89916,53207.0,52580
2018-08-26,99026,55055.0,57900
2018-08-27,84136,41227.0,48106
2018-08-28,82953,39213.0,48400
2018-08-29,74812,40563.0,44475
2018-08-30,81726,40814.0,47236
2018-08-31,83316,39413.0,49045
2018-09-01,90014,41957.0,54180
2018-09-02,97751,43649.0,58760
2018-09-03,109073,48151.0,65628
2018-09-04,81760,32398.0,49278
2018-09-05,72345,30504.0,49055
2018-09-06,76711,28042.0,47824
2018-09-07,79336,29631.0,50711
2018-09-08,93647,35469.0,59428
2018-09-09,97817,37019.0,62795
2018-09-10,81842,28475.0,51392
2018-09-11,81286,28826.0,51899
2018-09-12,63436,7292.0,36544
2018-09-13,68350,,35168
2018-09-14,72622,,37905
2018-09-15,88796,,48136
2018-09-16,94041,,54039
2018-09-17,79379,,45733
2018-09-18,75625,,44922
2018-09-19,77910,,50073
2018-09-20,84319,,50303
2018-09-21,87822,,54023
2018-09-22,103653,,63873
2018-09-23,107891,,67936
2018-09-24,86296,,54853
2018-09-25,87937,,55930
2018-09-26,84382,,54446
2018-09-27,86978,,58809
2018-09-28,91674,,64799
2018-09-29,110435,,76383
2018-09-30,114471,,81111
2018-10-01,90127,,63244
2018-10-02,90500,,62609
2018-10-03,79821,,64711
2018-10-04,91360,,64670
2018-10-05,94940,,68392
2018-10-06,106704,,76636
2018-10-07,112826,,82204
2018-10-08,105983,,77756
2018-10-09,85965,,73925
2018-10-10,88067,,67088
2018-10-11,93485,,70135
2018-10-12,21120,,19812
